ballpoint;dlugopis
binder;segregator
branch office ;oddzial
briefcase;teczka, aktowka
buisness card;wizytowka
clipboard;twarda podkladka do pisania (z klipsem na kartki papierowe)
correction fluid;korektor w plynie
desktop;blat biurka
diary;kalendarzyk biurowy ksiazkowy, terminarz
drawer ;szuflada
drawing pins;pinezki
envelope;koperta
felt-tip pen;flamaster
fountain pen;wieczne pioro
paper shredder;niszczarka do dokumentow
pencil sharpener;temperowka
propelling pencil, mechanical pencil;olowek mechaniczny
punch;dziurkacz
rubber;gumka
rubber band, elastic band;gumka (do spinania kartek)
rubber stamp;pieczatka
ruler;linijka
scissors;nozyczki
scotch tape;tasma klejaca 
shelf;polka na ksiazki
shoulder bag;torebka na ramie
signature;podpis, sygnatura
stapler;zszywacz
wastepaper basket;kosz na smieci
white-collar worker;pracownik biurowy
whiteboard;biala tablica (do pisania markerami po niej)
