curriculum;program / agenda
re-imagine;ponownie sobie wyobrazic
an intriguing answer;intrygujaca odpowiedz
blown away;zdmuchniety
pace;tempo
summit;szczyt
rooted;wywodzi siê, zakorzeniony
unshakable;niewzruszone, niezachwiane
fuels;podsyca
relentless;nieustajacy
staff;personel
approaches;podejscia
assessing;ocenianie
throughout;poprzez
emphasize;podkreslac
hands-on;praktyczny
workplace;miejsce pracy 
couselor;doradca
attend;brac udzial w, uczeszczac
extraordinary;niezwykly
innovative;innowacyjny
to tailor;dostosowac
striking;uderzajacy, efektowny 
modest ;skromny
accomplished;znakomity, osiagnac
claims;roszczenia
much;wiele
recounts;opowiadac
raising;wychowanie
wrestling with;zmagac sie z
appreciate;doceniac
struggle;walczyc
excerpt;fragment
rubber;gumowy
brief;krotki
growth;wzrost, przyrost
seek;szukac
encourage;zachecac
deepens;poglebiac
rewarding;satysfakcjonujacy
extend time;wydluzyc czas
frightened;przera¿ony
brought;przyniosl (czas przeszly)
intend;zamierzaæ
nasty;paskudny, przykry, brzydki
tackling;walka, zajecie siê
malnutrition / undernourishment;niedo¿ywienie
township;miasto wydzielone (oddzielone od wiekszego miasta np. krakow-skawina)
to cope ;radzic sobie, sprostac, dawac rade
demands;¿¹daæ (zadac), domagac siê
tough (czyt. Taf);twardy, trudny
Debriefing;podusmowanie, odprawa, streszczenie (¿ycia)
international;miedzynarodowe
acclime;uznanie
contribute;przyczynic sie
pull her away;odciagnac ja 
scholarschip;stypendium
accomplishments;osiagniecia
sophisticated;wyrafinowany
effort;wysilek
stunting;karlowacenie, zachamowywac rozwoj
